symbol,ds,current_variable_debt
USDC,2021-07-28,3033581584.240006
USDC,2021-07-27,2922886464.062964
USDC,2021-07-26,2921688546.914106
USDC,2021-07-25,3014857631.45133
USDC,2021-07-24,2987590864.720982
USDC,2021-07-23,2961707965.413198
USDC,2021-07-22,2943959525.326646
USDC,2021-07-21,2929953012.957653
USDC,2021-07-20,2884707857.864515
USDC,2021-07-19,2873719700.438761
USDC,2021-07-18,2799966037.039633
USDC,2021-07-17,2769388750.676698
USDC,2021-07-16,2742659983.842072
USDC,2021-07-15,2666207930.435329
USDC,2021-07-14,2653464359.623371
USDC,2021-07-13,2530082268.688917
USDC,2021-07-12,2508565421.850597
USDC,2021-07-11,2551533990.132086
USDC,2021-07-10,2553121417.569049
USDC,2021-07-09,2364927116.726195
USDC,2021-07-08,1740977927.322328
USDC,2021-07-07,1773336046.110649
USDC,2021-07-06,1752688606.610634
USDC,2021-07-05,1708786979.295916
USDC,2021-07-04,1489426506.83947
USDC,2021-07-03,1415056681.020049
USDC,2021-07-02,1364898666.054755
USDC,2021-07-01,1265034151.981069
USDC,2021-06-30,1184219830.603545
USDC,2021-06-29,1018346408.455375
USDC,2021-06-28,1983394877.334345
USDC,2021-06-27,1986051961.805295
USDC,2021-06-26,1991709062.407109
USDC,2021-06-25,2014843847.446268
USDC,2021-06-24,2009113421.009057
USDC,2021-06-23,1625691745.087698
USDC,2021-06-22,1605976256.663456
USDC,2021-06-21,1655365765.366964
USDC,2021-06-20,2008031243.589516
USDC,2021-06-19,2027298485.756579
USDC,2021-06-18,2036964983.122776
USDC,2021-06-17,2073441531.369345
USDC,2021-06-16,2022945834.101465
USDC,2021-06-15,1892950184.333739
USDC,2021-06-14,1885554459.787914
USDC,2021-06-13,1844929852.033295
USDC,2021-06-12,1767458876.429814
USDC,2021-06-11,1778838805.890634
USDC,2021-06-10,1796340326.760006
USDC,2021-06-09,1773920440.229732
USDC,2021-06-08,2183461136.241755
USDC,2021-06-07,2207095088.474429
USDC,2021-06-06,1983674460.743256
USDC,2021-06-05,1969691600.072806
USDC,2021-06-04,1984397745.418644
USDC,2021-06-03,1984642052.927704
USDC,2021-06-02,1930124850.946741
USDC,2021-06-01,1924007112.590506
USDC,2021-05-31,1889755801.510422
USDC,2021-05-30,1863699962.771273
USDC,2021-05-29,1424677693.911442
USDC,2021-05-28,2277464753.363311
USDC,2021-05-27,2227690801.556511
USDC,2021-05-26,2200699691.697434
USDC,2021-05-25,2161972998.102011
USDC,2021-05-24,2150141209.890493
USDC,2021-05-23,2040608107.711315
USDC,2021-05-22,2227474710.06417
USDC,2021-05-21,2555562995.927526
